电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
战争之王,8.6,251331,"世界上每十二个人就有一个在做俯卧撑,我们的任务是让剩下的十一个人也做俯卧撑.",从影帝蜕变到烂片王也是需要一定的气度，就如同影片最后他被家人抛弃被抓到监狱却十分镇定一样。这片子政治隐喻很多。,我爱这部电影～它太人文精神了…………特别是中间能把飞机在一夜拆掉，哎天，太摆了实在是……,喜欢NicholasCage片中的表演，影片立意很高，最后的对现实的讽刺稍有些直白。,做你擅长做的事，而不仅仅是活着。
英雄本色,8.7,331928,香港黑帮电影的代表作！小马哥，那是一个神的样子~~,有几个镜头里，龙哥会发光,Leslie这个萌娃。据说有次Leslie在电影院看午夜场，他跟盆友说：要死了，观众那麼喜欢发仔，而我却是个要抓发仔和我哥哥的警察。第二部的时候，他开森的说：这回有人同情我了。看我演得多好！我的妻子怀孕生子时，我死佐~,我親愛的小馬哥，時至今日你讓我感嘆英雄遲暮更是種折磨……,三个男人的戏，打得太精彩太经典了！
撞车,8.6,241577,《断背山》因你与奥斯卡失之交臂。,多走线接近完美的剧本在美国其实并不少见.但仍旧不理解为什么断背山会输给它.,有点太假的感觉。,表面上是在探讨种族间的偏见与冲突(crash)，本质上是在讲人性的和解与救赎(touch)。,在美国生活后对片中的情节感受更深。我们知道种族歧视不好，知道自己也是所谓的“弱势群体”，但当我们看到街上成群结队的黑人，我们还是会感到害怕厌恶。我们明明做人都恪守准则，但还是有人对黄种人有偏见。当我们在努力为自己这个种族证明时，我们总会有同胞在拖后腿。生活就像撞车，有因不一定有果
哈利·波特与密室,8.6,370938,再没有什么比一封吼叫信更叫人晕菜了！,邓布利多说：让我们成为哪种人的并不是我们的能力，而是我们的选择。,如果一直能由哥伦布导演，那哈迷该多幸福啊...,那时候看电影才9块钱！,影片让我印象最深刻的就是巨型蜘蛛，看得我毛骨悚然。哈利已有长残的倾向了，而小赫敏已活脱脱成一小美人了。怀念理查德·哈里斯，他的邓布利多让人印象深刻
青蛇,8.5,345959,如果有六颗心我就打六星，如果有十颗星我就打十星，别问我为什么！,当时很不能接受的是，许仙竟然和小青有暧昧。不过长大之后再回想，男人，可不就是这样的么。,每个女人，也希望她生命中有两个男人：许仙和法海。是的，法海是用尽千方百计博他偶一欢心的金漆神像，生世位候他稍假词色，仰之弥高；许仙是依依挽手，细细画眉的美少年，给你讲最好听的话语来熨帖心灵。,作为一个性格被阉割的男人，青蛇那一剑捅得好！,我们以为白蛇迷恋的是许仙，青蛇勾引的是法海，实际上真正的爱情只发生在青蛇和白蛇身上。
雨人,8.7,296808,ray……听上去很像rain，愚顿的哥哥曾经对心爱的弟弟说，我是rainman。直到生命进行到成人的阶段，弟弟才突然想起，童年时，他的生活中曾经有一个爱他疼他的雨人……,如果影片可以不那么拖沓.我会把它列为四星.结尾很感人.中间有很多情节可以砍掉.,我可不可以把它看成一部公路片，某种程度。,年轻帅气的阿汤哥，让人眼前一亮的霍夫曼。故事简简单单，配乐大气，并没有特别煽情的段落，不刻意讨好，不哗众取宠，让人看起来十分舒服，让人感动在不知不觉中。★★★☆,生活在自己的世界里，也可以让周围的人显得可笑和渺小。赞。另外达斯丁霍夫曼演的太赞。
七武士,9.2,126399,我只能用”高山仰止”四字来形容我对黑泽天皇这部旷世杰作的仰慕之情；纷繁庞杂却又条理清晰的史诗，严苛而精准的镜头和构图，七个武士和若干农民的性格都被描绘得入木三分，“休憩”后的大决战无比恢弘，叹为观止。,和教父是一种类型的电影，突出人物性格，故事情节也曲折。最后真的是人民战争海洋。很有几次，都觉得这也可以算一部写中国人的电影，比如农民的狡猾与认命等，到最后的我能！,我什么话都么的说。什么叫NB，这就叫NB。,完成度之高啊！三个半小时下来连个低潮都没有，后来的《影武者》、《乱》都比不过这部。每个人物性格都非常鲜明，志村乔仿佛一灯大师，三船敏郎似韦小宝，久葬是独孤求败，胜四郎像段誉……唯一的问题是志村乔剃完头怎么这么像张丰毅呀？！,看完把我累死了。。。
海洋,9.1,125780,看完之后深深希望2012快点来，大家抱团死，剩下的生物就可以好好活了。,"拍得非常好,但不要来假装电影",摄影加一星。影片本身缺乏凝聚力，几乎为单纯的影像展览。,这个剪的确实有点歌剧感觉了,节奏舒爽到我都盹着了一会儿，醒过来后一片黑暗的剧场里，一个小孩子问：爸爸，这深海里我没看到怪兽~~~父亲答道：真正的怪兽是人类。
网络谜踪,8.6,357498,男主应该感谢妻子的陪伴，感谢女儿的善良，还应该感谢谷歌、脸书、油管，要是他用的是百度，估计不但找不到女儿还会被莆田系广告骗走2万块。,Bieberconcert(confirmed),非常新颖的表现形式，整个故事都在电脑屏幕上完成，节奏感把握得极好，多处反转出人意料，想起前面的铺垫又觉得顺理成章，悬疑的氛围持续到结束。影片中各式socialmedia玩得极溜，导演说想要通过影片表达网络有时候也不全是negative的。五个主创拍片十三天却在电脑前剪了两年！,看到结尾回想起一个细节，妈妈电脑里保存的班级电话簿，上面有真凶的联系方式来着，备注写着：家长在警局工作，离异家庭，喜欢玛格。,Amazing!剧本写得太好了，千回百转。几乎没有实景拍摄，但节奏感超强。这种拍摄方式真的太省成本了。
源代码,8.4,576869,後面有延續的結局才是perfect！！！而不是傻逼的在那個kiss的時候結束！,"如果画面停在最后一吻上,就完美了.",这部电影告诉我们，最重要的不是想出一套没有硬伤的“科幻”元素，而是讲一个好故事。,竟然看到短评里有人言“结局累赘”、“如果一切停在这个吻就完美了”。卧槽，两位琼瑶剧迷请勿玷污科幻电影的SF之神好么！！！！可以说，影片3/4之前的剧情是立意新颖但仍中规中矩的悬疑惊悚片，但是结尾处的1/4剧情简直达到了科幻电影的肾上腺素暴表线。这个结局甚至比《月球》更加悬幻陡峭.,平行世界理论一定是真的，我坚定不移的相信着
奇迹男孩,8.6,388916,有种糖放多了的感觉，精华基本都在预告里了。但对孩子们的纯真友情毫无抵抗力啊，就像被温柔的抚摸了一下软肋。JacobTremblay涂着厚厚化妆都能感受到演技，小李子真好意思把奥斯卡摆在家里吗...,其实这更像当代童话，因为，实在是太暖了。里面每个人都那么暖，怎么可以那么暖，怎么可以那么暖！像一个暖心的童话故事。虽然，我也怀疑这样故事的真实性，但是，却喜欢被这样暖的故事感动，一度哭到不行。,“生命流逝太快，我们都没来得及多看对方一眼。”那个帮助奥吉的同学杰克·威尔，在跟同学打架后，委屈扑在老师怀里的表情太心碎了…,买票的时候很纠结，因为是完全可以预料到的剧情。这种温馨少年故事虽各各不同却又次次类似。若是你近来心情疲惫，这部电影是个流泪的好借口。,把“生而为人，很抱歉”，变成了“是个人，都应该与人为善”，多视角还挺有意思的。人与人的孤独重量，都是同一种地心引力。虽然不出意外的，所有人都是自带光芒的nice好人。
忠犬八公物语,9.2,121647,我等你是因为，再没有人像你对我那么好TT,喜欢教授那句话：人有人格，狗也有“狗格”。日本动物爱护管理中心主页上写着：1.无法继续豢养的动物，请不要丢弃（以前是免费，现在只需交付2000日元即可由保护中心收容接管）。2.遗弃、虐待动物是犯罪。3.遗弃动物者，处以50万日元以下罚款。4.杀、伤动物者，处以一年以下刑拘或100万元以下罚款。,看過才感受到美國版跟日本版的極大區別，除去整個情緒上的控制度，看過日本版才能理解為什麼阿八會用牠的餘生去等待主人，因為教授實在太愛牠了啊！教授對牠的那種愛和呵護是美國版完全沒有表現出來的，如果先看美國版會認為這是一隻神犬，跟主人之間的情感是冥冥中的，但日本版告訴我愛絕對是相互的。,美版的才是忠诚，日版的看到是凄惨和无奈，无家可归，忍饥受冻，被人遗弃，追打，如果给他一个家，像教授一样爱它，它也不会这么凄惨，只能在车站那苦苦的等待那个唯一爱它的人。,一只狗对其生命最初的爱，又想起那句话“我们之所以痛苦是因为我们曾经幸福过”
被解救的姜戈,8.7,415849,舒尔茨大夫不远万里，来到米国。一个德国人，毫无利己的动机，把强哥的解放事业当作他自己的事业，这是什么精神？这是国际主义的精神，这是基友主义的精神，每一个好基友都要学习这种精神。,本片很好的说明了什么叫做“躺枪”,4.5。1.痞子昆就是这样，见你犯困了，他就来场重口味强心剂，于是，你又屁颠颠精神百倍。2.头套突袭那场笑喷了，炸平糖果庄园后的示爱也超浪漫。3.遗憾，姜戈痞气不足，沉默期与着魔期的跨度可以更夸张些。4.配乐及部分诗意输出不如[无耻混蛋]讲究，但台词更见功力了。5.同以解放黑奴，与[林肯]暗合。,waltz魅力十足却死的那么酱油。。。,零，有一种类型片，叫昆丁；一，昆丁只拍这种片，但只有昆丁拍这种片；二，此片没那么完美，但已比无耻混蛋用心很多；三，昆丁可能永远再达不到低俗小说的高度，但本作足以革新西部片；四，南方口音蛋疼，有些笑点没听懂，以后我得看中文字幕版；五，原谅我用那么多分号，cuzImagoddamnprogrammer.
四个春天,8.9,109032,我自己的片子，我打五星。。。⁄(⁄⁄•⁄ω⁄•⁄⁄)⁄,看哭了。倒不是说这片子拍得多么惊世（当然导演本来就是一枚文艺大叔&很棒的图片摄影爱好者，对影像有很强的敏感度，拍出一份质朴的诗意），主要是这对老人家太令我羡慕和感动了，这就是中国家庭最缺失的爱的教育啊，小时候梦想中其乐融融的家庭氛围。他们将岁月的苦难化为财富（生活能力极强，除彼此不依附任何人，对一切事物尤其文化生活有强烈的好奇心），展现出超乎常人的乐观、豁达、坚韧与感染力，拍成连续剧我都愿意看。古稀老父自己拍DV学剪辑和后期太可爱了，十八般乐器唱歌书法才艺简直不要太多！姐姐病逝，但她还在他们身边。老照片和家庭录像有效拓展了背景信息量，同时也很抓人。个别处剪辑可以再精炼一下，但总体来说作为非专业出身处女作，扎扎实实不炫技，已经给我太多感动和余味了。,导演一家人，一直有保存和记录家庭影像的传统（片中最早出现的素材是1997年），加上知识分子的文艺情趣，人物鲜活不拘谨，张口都能来上一段曲——已经有中国家庭很少见的乐观达然一面。尤其是导演确立了要创作的想法以后，对摄影拍摄的思考（机位、角度、构图），也令电影不乏美感。《四个春天》是家庭录像在这个时代，这个国度，所能做到的极佳案例。甚至对比《日常对话》，它来得更加随心所欲。父亲姐姐拍摄的素材（印象最深一段是父亲配了《水边的阿狄丽娜》），参与到电影成片当中，也仿若李珞《河流与我的父亲》的实践版。第三个春天的沉默，晦暗与情感凝重，也道出了生之多艰。中国人很少能记住三代以上的亲属，但对于从小陪伴，日常成长的亲人，一旦割舍道别，难免会有切肤之痛，正如每天春节，归家的燕子，总能唤醒相似的生命记忆。,纪录片直击穷山恶水黑社会是一种力量，记录柴米油盐酱醋茶也是一种力量。我们的家庭叙事中很少见到这样豁达与乐观的父母辈，他们对生活中具体的一餐一饭一花一草一事一物真心好奇，真心感恩，真心享受。父亲无论遇到什么事，都笑着说“好玩得很”，看见红亮腊肠慨叹一句“安逸”，看燕子筑巢，看荆条发芽，吹一支蒲公英，这些不是文艺青年的摆拍，是来自真实生活中的点滴情趣，它本应是生活的本意，只是长久地被尘埃覆盖。这其中也有死亡和告别，甚至是最惨痛的那一种，但即便如此也是透亮的。这两位老人没有被时光钝化，没有被窘迫打垮，没有抱怨没有唉声叹气，过好每一天，生命都有界限与终点，所以意义是什么？不过就是盼树叶返绿，等燕子复归的这个过程。,日本有《人生果实》，韩国有《亲爱的，不要跨过那条江》，我们也终于有《四个春天》了。辛波斯卡写“就让那些从未找到幸福爱情的人，不断去说世上没有这种东西，这信念会让他们活得较轻松死得较无憾”——是真的没错，毕竟平成的我们要上哪里去找一个会五六种乐器、会唱歌会跳华尔兹、会书法会视频剪辑、会修家具修电器、会种菜会养蜂、会做家务还超关心我的爱人啊！！！
